Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,Carbon Emission (kg/month)
normal,female,vegan,more frequently,natural gas,private,electric,never,117,frequently,3438,medium,6,8,11,19,Sometimes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",643.1
underweight,female,vegan,daily,coal,walk/bicycle,,never,195,never,95,small,2,19,9,3,No,['Paper'],"['Stove', 'Microwave']",294
underweight,female,pescatarian,less frequently,electricity,walk/bicycle,,sometimes,73,frequently,68,medium,6,19,4,16,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']",454.8
normal,female,pescatarian,more frequently,coal,public,,never,187,never,801,medium,3,6,3,12,Yes,"['Plastic', 'Metal']",['Microwave'],365.25
underweight,female,vegetarian,less frequently,natural gas,walk/bicycle,,never,241,never,61,medium,3,8,20,0,Sometimes,"['Paper', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",335.6
underweight,male,vegan,more frequently,coal,private,petrol,never,280,frequently,343,large,1,8,36,15,No,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",586.86
underweight,female,vegetarian,less frequently,electricity,walk/bicycle,,often,182,frequently,64,large,7,18,44,5,No,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",567.2
underweight,male,vegan,daily,coal,public,,never,112,frequently,1656,extra large,6,4,11,24,Sometimes,['Glass'],"['Stove', 'Oven', 'Microwave']",589.5
normal,male,pescatarian,less frequently,natural gas,walk/bicycle,,never,299,very frequently,92,extra large,1,0,21,7,No,"['Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",656.4
obese,female,vegetarian,less frequently,wood,public,,never,67,never,1062,small,2,12,2,3,No,"['Paper', 'Plastic', 'Glass']",['Stove'],275.3
normal,male,vegetarian,more frequently,coal,public,,never,70,rarely,1292,small,6,12,41,15,No,['Metal'],"['Stove', 'Microwave']",530.6
underweight,male,vegetarian,twice a day,wood,walk/bicycle,,sometimes,58,frequently,10,small,4,20,47,21,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",532.3
overweight,male,omnivore,more frequently,coal,walk/bicycle,,never,51,rarely,78,small,4,15,25,16,No,['Glass'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",546.6
underweight,male,vegetarian,twice a day,coal,walk/bicycle,,never,175,frequently,74,extra large,2,7,37,22,Sometimes,"['Paper', 'Plastic']","['Stove', 'Microwave']",558.5
normal,female,pescatarian,twice a day,electricity,public,,often,164,very frequently,1342,medium,6,13,11,1,Sometimes,[],"['Stove', 'Oven']",682
obese,male,vegetarian,twice a day,electricity,walk/bicycle,,often,117,never,19,small,7,9,47,2,Sometimes,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",359.2
underweight,female,vegan,daily,wood,walk/bicycle,,never,159,rarely,66,extra large,1,4,27,9,Sometimes,['Glass'],['Oven'],324.9
obese,female,omnivore,twice a day,electricity,private,hybrid,never,67,never,7585,medium,5,23,26,12,No,"['Paper', 'Metal']",['Microwave'],2048.05
overweight,male,vegetarian,more frequently,coal,private,electric,never,234,never,1762,medium,7,1,29,8,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",473
normal,male,pescatarian,twice a day,electricity,walk/bicycle,,sometimes,97,frequently,53,small,6,3,35,13,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Grill', 'Airfryer']",501.7
obese,male,omnivore,less frequently,coal,walk/bicycle,,never,172,very frequently,14,large,1,24,20,16,Yes,"['Paper', 'Plastic']","['Stove', 'Microwave']",790.2
obese,female,vegetarian,daily,natural gas,public,,often,94,frequently,931,small,7,24,10,2,Yes,"['Paper', 'Glass']",['Oven'],529.95
overweight,male,vegan,twice a day,wood,public,,often,228,very frequently,149,small,4,9,41,6,Sometimes,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",630.75
normal,male,pescatarian,daily,wood,walk/bicycle,,never,60,rarely,25,small,3,24,3,23,Yes,['Plastic'],"['Microwave', 'Grill', 'Airfryer']",356.5
normal,male,vegetarian,daily,natural gas,private,hybrid,often,143,rarely,1952,large,2,3,15,14,Sometimes,"['Paper', 'Plastic', 'Glass']",['Stove'],778.22
obese,male,pescatarian,less frequently,electricity,private,hybrid,never,134,very frequently,932,small,6,10,1,16,Sometimes,['Glass'],"['Stove', 'Grill', 'Airfryer']",786.12
overweight,female,vegetarian,more frequently,wood,private,hybrid,never,97,very frequently,2924,medium,2,9,11,9,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",1171.24
underweight,female,pescatarian,twice a day,electricity,walk/bicycle,,never,160,rarely,29,small,1,12,9,20,Sometimes,"['Paper', 'Plastic']","['Oven', 'Grill', 'Airfryer']",345
obese,female,omnivore,daily,coal,public,,sometimes,162,rarely,1574,large,6,7,36,2,No,"['Plastic', 'Metal']","['Grill', 'Airfryer']",652.9
underweight,female,vegan,more frequently,natural gas,walk/bicycle,,sometimes,176,very frequently,77,small,6,13,19,12,Sometimes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",624.6
overweight,male,omnivore,more frequently,natural gas,walk/bicycle,,often,281,frequently,62,small,6,0,14,12,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']",616.6
normal,male,vegan,twice a day,wood,private,diesel,sometimes,275,never,1884,large,4,8,27,1,Sometimes,['Paper'],"['Grill', 'Airfryer']",623.16
normal,female,omnivore,more frequently,coal,public,,sometimes,109,rarely,452,medium,7,14,27,4,Yes,['Metal'],['Microwave'],580
underweight,female,omnivore,daily,coal,public,,sometimes,267,never,1584,extra large,1,3,14,15,No,['Plastic'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",544.4
overweight,male,pescatarian,more frequently,electricity,public,,never,72,never,1887,medium,3,2,15,5,Yes,['Metal'],"['Microwave', 'Grill', 'Airfryer']",377.05
normal,male,vegan,twice a day,electricity,walk/bicycle,,never,237,rarely,30,extra large,4,12,7,22,Sometimes,['Paper'],"['Stove', 'Grill', 'Airfryer']",341.7
obese,male,pescatarian,more frequently,wood,private,lpg,never,164,frequently,7506,extra large,5,24,36,15,Sometimes,"['Paper', 'Metal']",['Microwave'],1814.9
underweight,female,omnivore,less frequently,wood,public,,sometimes,180,very frequently,719,small,3,7,0,9,No,['Metal'],['Microwave'],698.95
obese,male,vegetarian,daily,natural gas,private,electric,never,65,rarely,2671,extra large,2,18,37,8,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",572.05
obese,male,vegan,less frequently,electricity,walk/bicycle,,sometimes,104,rarely,89,small,3,24,35,6,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']",368.4
obese,female,vegan,more frequently,coal,public,,sometimes,86,rarely,401,large,6,22,19,12,Yes,[],"['Grill', 'Airfryer']",441.65
normal,male,vegetarian,more frequently,wood,walk/bicycle,,often,284,very frequently,58,small,4,3,28,13,No,"['Glass', 'Metal']",[],623.4
normal,female,omnivore,twice a day,coal,walk/bicycle,,often,207,very frequently,56,small,4,6,26,24,No,"['Paper', 'Plastic', 'Metal']",['Oven'],797.7
normal,female,pescatarian,daily,wood,walk/bicycle,,often,92,never,7,small,4,5,34,5,No,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",330.7
underweight,female,vegetarian,twice a day,electricity,private,diesel,sometimes,112,rarely,2570,small,4,4,22,12,No,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",777.17
underweight,male,vegan,daily,natural gas,public,,sometimes,152,very frequently,900,extra large,3,3,21,8,No,[],[],666.2
underweight,male,omnivore,less frequently,coal,private,hybrid,often,298,rarely,3439,small,1,18,45,9,No,"['Paper', 'Glass', 'Metal']",['Microwave'],1310.99
obese,female,pescatarian,twice a day,natural gas,walk/bicycle,,sometimes,189,very frequently,2,large,2,24,50,10,No,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave']",765.9
normal,male,omnivore,daily,electricity,public,,sometimes,270,never,1492,medium,6,24,11,13,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",524.1
normal,female,vegetarian,twice a day,natural gas,public,,often,139,very frequently,39,medium,3,21,45,12,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",718.35
underweight,female,omnivore,less frequently,natural gas,walk/bicycle,,often,186,rarely,30,large,7,4,41,0,Sometimes,"['Paper', 'Plastic', 'Metal']",['Oven'],578.1
underweight,male,pescatarian,daily,wood,private,hybrid,never,74,frequently,4799,extra large,1,20,0,23,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",[],1433.69
overweight,male,omnivore,less frequently,electricity,walk/bicycle,,sometimes,205,rarely,51,medium,3,16,47,11,Sometimes,"['Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",551
overweight,male,pescatarian,daily,electricity,walk/bicycle,,never,246,rarely,38,medium,7,11,8,10,No,"['Glass', 'Metal']","['Stove', 'Microwave']",373.1
overweight,male,pescatarian,less frequently,coal,public,,never,277,never,919,small,1,12,49,3,No,['Plastic'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",487.15
normal,male,pescatarian,twice a day,wood,walk/bicycle,,never,184,never,53,large,1,17,34,3,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",342.4
overweight,female,vegan,less frequently,electricity,public,,sometimes,58,rarely,1324,extra large,6,19,49,5,Sometimes,['Metal'],"['Stove', 'Microwave']",498.5
obese,female,omnivore,twice a day,wood,public,,never,90,never,988,large,5,19,43,19,Sometimes,['Paper'],"['Stove', 'Grill', 'Airfryer']",575.4
underweight,male,vegetarian,less frequently,coal,walk/bicycle,,sometimes,51,frequently,33,large,4,1,47,14,Yes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",563.6
normal,male,vegetarian,less frequently,coal,public,,never,94,very frequently,303,medium,4,3,13,4,No,"['Plastic', 'Glass', 'Metal']",[],621.55
overweight,female,vegan,twice a day,wood,walk/bicycle,,often,182,very frequently,74,extra large,7,1,10,4,No,"['Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",581.2
overweight,female,omnivore,daily,electricity,private,electric,often,136,rarely,8747,extra large,5,21,10,19,Sometimes,"['Paper', 'Plastic']","['Oven', 'Grill', 'Airfryer']",940.45
overweight,female,omnivore,daily,wood,public,,sometimes,264,never,1146,medium,4,22,13,10,Yes,['Paper'],['Microwave'],496.2
normal,male,vegan,more frequently,natural gas,private,electric,sometimes,164,very frequently,71,medium,5,22,31,8,Yes,['Glass'],"['Oven', 'Grill', 'Airfryer']",682.95
overweight,female,vegetarian,twice a day,wood,private,electric,sometimes,62,never,2289,large,7,18,11,17,No,"['Paper', 'Metal']",['Microwave'],440.65
overweight,female,omnivore,less frequently,electricity,public,,sometimes,54,never,259,extra large,3,23,48,11,No,[],"['Stove', 'Grill', 'Airfryer']",533.85
overweight,female,pescatarian,less frequently,coal,public,,never,247,never,919,small,7,3,24,15,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",435.65
normal,female,vegan,more frequently,electricity,walk/bicycle,,sometimes,292,never,53,small,6,3,0,0,Sometimes,"['Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",216.2
underweight,male,vegetarian,less frequently,electricity,private,electric,often,170,very frequently,4630,large,5,19,22,1,Yes,['Plastic'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",863
overweight,male,pescatarian,more frequently,wood,private,hybrid,never,144,very frequently,8182,large,1,6,8,15,Sometimes,['Paper'],['Oven'],2302.12
normal,male,omnivore,daily,electricity,public,,never,136,frequently,1185,medium,4,21,33,6,Sometimes,['Paper'],"['Grill', 'Airfryer']",677.35
obese,female,omnivore,daily,wood,public,,sometimes,223,frequently,1465,large,3,18,3,20,Yes,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",646.55
normal,male,vegan,less frequently,coal,private,diesel,sometimes,133,frequently,85,extra large,2,9,9,5,No,"['Paper', 'Glass']",['Oven'],449.34
underweight,female,omnivore,twice a day,wood,private,petrol,often,151,rarely,54,large,7,6,4,21,No,"['Paper', 'Plastic', 'Glass']",['Oven'],482.97
underweight,male,pescatarian,twice a day,coal,walk/bicycle,,never,146,frequently,21,large,4,2,35,15,Yes,"['Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",571.1
obese,female,vegan,less frequently,electricity,private,electric,sometimes,251,rarely,1552,small,1,24,46,24,Yes,"['Paper', 'Metal']","['Grill', 'Airfryer']",497.2
normal,female,vegan,more frequently,electricity,public,,never,281,rarely,406,extra large,7,1,20,6,Sometimes,"['Plastic', 'Glass', 'Metal']",['Microwave'],375.9
overweight,female,vegetarian,less frequently,coal,public,,often,243,rarely,1663,extra large,6,4,26,6,Yes,"['Plastic', 'Glass']",[],531.45
underweight,male,omnivore,daily,coal,public,,never,291,never,1420,medium,3,20,46,17,Yes,['Plastic'],"['Grill', 'Airfryer']",649.1
normal,male,omnivore,less frequently,natural gas,private,electric,sometimes,183,frequently,9489,small,5,22,1,9,Sometimes,"['Paper', 'Glass']","['Oven', 'Microwave']",1064.75
normal,male,vegan,daily,coal,public,,sometimes,222,very frequently,920,extra large,4,7,33,23,Yes,"['Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",746.2
normal,female,omnivore,less frequently,wood,public,,often,191,frequently,1079,medium,7,21,20,16,No,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",677.05
obese,female,vegan,twice a day,natural gas,private,petrol,sometimes,164,rarely,909,small,1,9,45,22,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",601.43
obese,female,pescatarian,more frequently,wood,public,,sometimes,128,rarely,1681,small,1,0,20,18,Yes,"['Paper', 'Plastic']",['Oven'],431.85
obese,male,pescatarian,daily,natural gas,public,,often,86,rarely,1059,large,2,2,16,15,Yes,['Paper'],"['Oven', 'Grill', 'Airfryer']",451.55
normal,male,vegan,more frequently,wood,public,,often,158,rarely,1810,large,7,6,20,6,No,['Glass'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",448.8
overweight,male,vegetarian,less frequently,wood,public,,never,71,very frequently,1209,large,6,5,47,1,Sometimes,['Plastic'],"['Stove', 'Microwave']",731.05
normal,male,pescatarian,less frequently,natural gas,walk/bicycle,,sometimes,263,very frequently,12,small,6,13,12,15,Sometimes,"['Paper', 'Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",669.8
overweight,male,omnivore,more frequently,wood,private,electric,sometimes,189,frequently,3182,large,7,3,13,16,Sometimes,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",749.5
overweight,female,vegetarian,more frequently,wood,walk/bicycle,,never,158,never,65,small,7,13,19,19,No,['Glass'],"['Oven', 'Grill', 'Airfryer']",334.8
overweight,male,pescatarian,twice a day,coal,walk/bicycle,,often,269,rarely,80,small,5,10,0,19,Yes,"['Plastic', 'Glass', 'Metal']",['Stove'],392.4
normal,male,vegetarian,less frequently,wood,private,petrol,sometimes,72,rarely,837,large,4,6,22,3,No,"['Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",507.9
normal,female,vegetarian,twice a day,coal,walk/bicycle,,sometimes,79,never,0,small,2,4,36,23,No,['Glass'],['Stove'],388.4
normal,male,vegetarian,less frequently,natural gas,private,petrol,sometimes,216,never,2317,extra large,3,14,11,16,Sometimes,[],['Microwave'],806.96
underweight,male,vegan,more frequently,electricity,walk/bicycle,,sometimes,183,rarely,25,large,4,13,45,2,No,"['Paper', 'Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",383.8
obese,female,omnivore,more frequently,natural gas,walk/bicycle,,sometimes,145,frequently,26,extra large,4,2,20,6,Yes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",621
overweight,female,vegetarian,daily,natural gas,walk/bicycle,,often,157,very frequently,47,small,3,7,43,10,Sometimes,[],[],697.7
normal,female,vegetarian,more frequently,natural gas,walk/bicycle,,often,250,rarely,73,medium,7,10,22,17,Yes,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave']",446.5
underweight,female,vegetarian,more frequently,electricity,private,electric,often,205,rarely,5898,medium,3,13,43,5,Yes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",704.4
underweight,female,omnivore,more frequently,coal,private,lpg,often,176,rarely,7691,extra large,1,9,5,3,Yes,[],"['Stove', 'Grill', 'Airfryer']",1753.31
normal,female,vegan,daily,wood,walk/bicycle,,never,286,frequently,44,small,7,9,43,7,No,['Glass'],"['Grill', 'Airfryer']",500.6
normal,male,pescatarian,more frequently,natural gas,private,hybrid,never,238,never,4881,large,7,19,5,21,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1435.81
normal,female,vegan,twice a day,coal,walk/bicycle,,often,59,rarely,78,medium,4,18,17,15,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",378.4
overweight,male,vegan,twice a day,coal,public,,never,140,rarely,1257,large,2,20,43,5,Sometimes,"['Plastic', 'Metal']",['Microwave'],491.85
normal,female,vegetarian,daily,natural gas,private,electric,sometimes,286,rarely,3010,large,7,7,48,12,Yes,['Metal'],"['Stove', 'Oven']",671.6
overweight,female,vegetarian,more frequently,electricity,public,,never,156,frequently,542,large,6,2,13,12,Yes,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",483.7
overweight,male,vegan,daily,natural gas,public,,never,115,very frequently,19,medium,4,6,34,5,Yes,['Glass'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",651.45
obese,male,vegetarian,less frequently,wood,private,electric,sometimes,258,never,5119,medium,5,20,26,19,Yes,"['Plastic', 'Glass', 'Metal']",['Oven'],617.25
overweight,male,pescatarian,more frequently,coal,public,,never,224,rarely,1553,medium,5,17,39,1,No,"['Plastic', 'Glass']","['Stove', 'Oven']",563.55
underweight,female,vegan,twice a day,electricity,walk/bicycle,,sometimes,116,never,91,small,4,24,20,21,Yes,['Plastic'],['Oven'],301.1
obese,male,vegan,more frequently,wood,walk/bicycle,,sometimes,273,frequently,34,medium,6,8,31,13,No,['Paper'],"['Stove', 'Oven']",484.3
obese,male,pescatarian,daily,natural gas,private,hybrid,often,266,never,21,extra large,5,11,11,5,Yes,"['Plastic', 'Metal']",['Oven'],382.51
normal,male,omnivore,daily,natural gas,walk/bicycle,,often,219,very frequently,69,medium,4,2,16,4,No,"['Paper', 'Metal']","['Stove', 'Oven']",747.9
underweight,female,vegan,twice a day,wood,public,,never,299,very frequently,1961,extra large,7,2,47,12,Sometimes,['Plastic'],"['Stove', 'Microwave']",795.45
normal,male,pescatarian,more frequently,wood,walk/bicycle,,often,285,never,27,large,3,13,47,8,Sometimes,['Paper'],"['Stove', 'Oven', 'Grill', 'Airfryer']",417
obese,female,omnivore,more frequently,electricity,public,,never,218,very frequently,494,large,3,8,37,3,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",776
obese,male,vegetarian,more frequently,coal,walk/bicycle,,often,66,never,43,small,5,0,7,2,Sometimes,['Paper'],[],285.1
overweight,male,pescatarian,daily,coal,public,,sometimes,102,very frequently,321,large,3,4,38,19,Sometimes,"['Paper', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",741.25
underweight,male,vegan,twice a day,natural gas,public,,often,115,rarely,84,medium,5,23,49,23,Sometimes,"['Paper', 'Plastic']","['Oven', 'Microwave', 'Grill', 'Airfryer']",490.7
underweight,male,vegetarian,daily,wood,walk/bicycle,,sometimes,264,never,85,large,7,11,13,3,No,"['Plastic', 'Glass']",['Microwave'],319.9
normal,female,pescatarian,daily,coal,private,electric,often,243,rarely,1167,small,3,20,37,1,Sometimes,"['Paper', 'Plastic']","['Stove', 'Grill', 'Airfryer']",526.15
overweight,male,omnivore,twice a day,wood,walk/bicycle,,often,76,rarely,48,extra large,2,10,3,17,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",427.1
underweight,female,vegan,less frequently,natural gas,walk/bicycle,,sometimes,248,very frequently,24,large,1,8,3,2,Yes,[],['Oven'],565.3
overweight,male,vegetarian,twice a day,electricity,public,,never,118,very frequently,253,extra large,4,24,9,12,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave']",620.95
obese,male,vegan,daily,natural gas,walk/bicycle,,sometimes,156,very frequently,44,large,3,0,21,22,Sometimes,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",624.6
obese,male,vegetarian,less frequently,electricity,walk/bicycle,,often,179,never,56,small,1,5,35,13,Yes,"['Paper', 'Glass']",['Microwave'],318.4
overweight,male,pescatarian,twice a day,coal,walk/bicycle,,never,110,frequently,5,large,6,13,14,19,No,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",547.5
underweight,male,vegan,more frequently,coal,walk/bicycle,,sometimes,191,very frequently,2,small,3,3,30,8,Yes,"['Paper', 'Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",626.1
underweight,male,omnivore,daily,electricity,walk/bicycle,,never,268,rarely,68,medium,1,4,18,10,Yes,"['Plastic', 'Metal']","['Stove', 'Oven']",452.8
underweight,female,omnivore,more frequently,coal,private,hybrid,sometimes,144,very frequently,6423,extra large,7,11,29,23,Yes,"['Paper', 'Glass']","['Oven', 'Grill', 'Airfryer']",2218.23
obese,female,vegetarian,less frequently,wood,public,,often,227,very frequently,425,large,4,18,44,7,No,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",712.95
underweight,male,pescatarian,daily,electricity,walk/bicycle,,often,272,very frequently,79,medium,2,14,40,8,Yes,"['Plastic', 'Glass']","['Oven', 'Microwave']",676.2
overweight,male,pescatarian,less frequently,electricity,walk/bicycle,,never,267,never,67,extra large,6,2,16,7,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",337.7
overweight,male,omnivore,more frequently,natural gas,walk/bicycle,,sometimes,198,very frequently,45,small,4,3,29,11,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",779.8
obese,female,vegan,daily,wood,private,petrol,sometimes,129,never,3634,small,2,21,50,7,Sometimes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",1044.63
overweight,female,pescatarian,twice a day,coal,private,petrol,sometimes,76,never,6218,extra large,3,7,6,2,Sometimes,"['Paper', 'Metal']","['Stove', 'Grill', 'Airfryer']",1519.46
obese,female,pescatarian,more frequently,electricity,public,,sometimes,270,very frequently,1303,small,5,6,26,20,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",718.65
normal,male,vegetarian,less frequently,wood,walk/bicycle,,never,275,rarely,16,extra large,4,9,34,8,Yes,"['Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",421.5
underweight,female,pescatarian,twice a day,wood,public,,often,161,never,1892,large,6,3,35,10,Yes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",473.7
normal,female,pescatarian,more frequently,wood,public,,never,74,frequently,626,extra large,1,17,28,16,Yes,"['Plastic', 'Metal']","['Oven', 'Microwave']",524.2
normal,female,omnivore,more frequently,coal,private,lpg,never,101,very frequently,7733,large,3,18,22,6,No,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2081.28
overweight,male,pescatarian,less frequently,wood,public,,often,173,very frequently,1606,medium,4,11,44,20,Sometimes,"['Glass', 'Metal']",['Microwave'],784.1
overweight,female,vegan,more frequently,electricity,public,,sometimes,295,rarely,449,large,7,18,38,19,No,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']",474.95
overweight,male,vegetarian,twice a day,wood,walk/bicycle,,sometimes,85,frequently,94,extra large,3,22,26,21,Yes,['Glass'],"['Stove', 'Oven', 'Microwave']",513
overweight,female,omnivore,twice a day,electricity,walk/bicycle,,often,261,never,5,small,2,21,18,9,Sometimes,"['Glass', 'Metal']",[],426.1
underweight,male,pescatarian,less frequently,coal,private,petrol,often,70,rarely,3522,medium,1,9,49,23,No,[],[],1172.72
normal,male,omnivore,daily,wood,public,,often,193,never,653,medium,5,24,23,20,Sometimes,"['Glass', 'Metal']",[],510.45
underweight,male,omnivore,less frequently,coal,private,lpg,often,237,frequently,9688,extra large,5,0,18,11,Sometimes,[],['Oven'],2259.41
underweight,male,pescatarian,less frequently,electricity,private,petrol,sometimes,256,rarely,6823,extra large,5,6,2,14,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1674.12
normal,female,omnivore,twice a day,electricity,walk/bicycle,,often,128,very frequently,69,extra large,6,6,45,3,No,[],"['Stove', 'Oven']",812.8
underweight,male,omnivore,more frequently,coal,private,diesel,never,227,rarely,5837,large,7,19,40,17,Sometimes,['Metal'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1646.33
obese,female,omnivore,twice a day,wood,public,,often,98,rarely,134,large,2,3,49,2,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",519
obese,male,vegetarian,daily,wood,public,,sometimes,107,never,1992,extra large,4,13,12,3,Sometimes,"['Paper', 'Glass']",['Stove'],390.3
overweight,female,vegan,twice a day,natural gas,walk/bicycle,,often,186,rarely,38,extra large,7,15,38,0,Sometimes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",456.6
normal,female,vegetarian,twice a day,wood,private,hybrid,never,204,rarely,2800,small,4,11,35,6,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Stove'],963.4
normal,male,pescatarian,daily,coal,private,hybrid,sometimes,262,frequently,1178,extra large,3,11,45,7,Sometimes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']",848.08
overweight,female,pescatarian,daily,wood,private,hybrid,never,169,frequently,2582,small,6,6,3,4,Sometimes,"['Plastic', 'Metal']","['Oven', 'Microwave']",961.62
normal,female,vegetarian,twice a day,natural gas,public,,sometimes,158,frequently,836,extra large,5,6,47,2,No,['Paper'],"['Stove', 'Oven', 'Grill', 'Airfryer']",627.6
overweight,male,pescatarian,daily,natural gas,public,,often,126,very frequently,884,extra large,3,5,5,16,Sometimes,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",697.3
underweight,male,pescatarian,more frequently,natural gas,walk/bicycle,,sometimes,195,frequently,59,large,2,14,4,14,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",483
overweight,female,vegan,less frequently,electricity,private,petrol,never,64,very frequently,3164,small,5,2,38,23,Sometimes,"['Plastic', 'Metal']","['Oven', 'Microwave']",1219.39
overweight,female,vegan,twice a day,coal,public,,never,206,never,1882,extra large,7,12,13,4,No,['Plastic'],"['Stove', 'Microwave']",451.2
obese,male,vegan,daily,wood,private,lpg,sometimes,90,frequently,8469,medium,4,17,36,15,Sometimes,"['Paper', 'Plastic', 'Metal']",['Oven'],1876.85
